Gene symbol	Description	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	cell-cell adhesion	cell surface	opc_fold_change	endothelial_fold_change
0610005C13Rik		0.15096	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.1176
0610007C21Rik		44.891	34.185	71.221	57.986	54.006	89.145	63.561	0	0	0.39919	0.11792
0610007L01Rik		11.015	12.029	13.286	14.058	6.1395	18.462	13.521	0	0	1.1137	0.11351
0610007P08Rik		7.1441	2.0204	4.4771	6.0243	2.8636	0.4469	4.6933	0	0	0.64473	0.29347
0610007P14Rik	Probable ergosterol biosynthetic protein 28	48.936	24.37	54.475	68.247	64.285	10.411	10.569	0	0	-0.23887	-2.0939
0610007P22Rik		8.2314	13.266	9.399	10.096	8.8427	6.7135	6.0668	0	0	0.088016	-0.63555
0610008F07Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
0610009B14Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
0610009B22Rik	Trafficking protein particle complex subunit 2	9.0919	9.3691	12.179	13.844	14.516	2.6074	12.034	0	0	-0.25322	0.22898
0610009D07Rik		18.84	24.283	38.772	39.726	30.021	13.096	32.064	0	0	0.36906	0.22381
0610009L18Rik		1.8617	1.6925	4.9933	3.5342	1.8841	1.0951	1.2213	0	0	1.4061	-1.0393
0610009O20Rik	Death ligand signal enhancer	16.52	10.059	21.976	14.778	11.735	26.562	17.832	0	0	0.90517	0.074166
0610010B08Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
0610010F05Rik	Uncharacterized protein KIAA1841	5.1315	12.849	4.9198	6.413	3.9356	0.63108	5.8668	0	0	0.32203	0.055156
0610010K14Rik	Chromatin complexes subunit BAP18	10.982	20.968	26.23	15.934	14.752	50.77	46.623	0	0	0.83025	1.0024
0610010O12Rik		13.735	19.969	12.067	12.037	23.237	2.3737	2.51	0	0	-0.94533	-2.4696
0610011F06Rik	UPF0585 protein C16orf13 homolog	5.2935	9.0607	12.806	6.6439	7.785	4.4736	9.6778	0	0	0.71804	0.33411
0610011L14Rik		6.5758	6.2646	7.9886	9.7978	6.643	7.1682	7.7014	0	0	0.26609	0.056364
0610012G03Rik		7.9109	13.953	17.41	14.832	15.122	22.66	17.533	0	0	0.20323	0.19514
0610012H03Rik		0.10825	0.1	0.32213	0.10795	0.1	0.1	0.1	0	0	1.6877	-0.48257
0610030E20Rik	UPF0561 protein C2orf68 homolog	5.3359	3.1345	3.5427	2.6826	1.0178	2.3426	1.3362	0	0	1.7994	-1.1714
0610031J06Rik	Lysosomal protein NCU-G1	26.751	10.127	34.008	24.228	29.937	140.71	80.36	0	0	0.18396	0.85937
0610037L13Rik	UPF0587 protein C1orf123 homolog	19.299	9.4571	18.962	11.913	8.8851	13.089	21.949	0	0	1.0936	0.69046
0610037P05Rik		16.476	20.504	29.892	26.861	21.298	8.7712	21.484	0	0	0.48905	0.058273
0610038B21Rik		0.1	0.15263	0.17293	0.1	0.1	0.1	0.12137	0	0	0.79019	0.0052329
0610039K10Rik		0.17346	0.30534	0.18063	0.13567	0.10246	0.42433	0.57868	0	0	0.81797	1.3932
0610040B10Rik		1.5841	1.5349	2.9998	3.3618	3.0527	0.71129	2.8613	0	0	-0.025229	0.37431
0610040F04Rik		0.17013	0.1	0.20924	0.1	0.1	0.1	0.1	0	0	1.0652	-0.37735
0610040J01Rik	Uncharacterized protein C4orf19 homolog	13.949	1.3494	33.541	6.9409	4.4411	46.432	0.12888	0	0	2.9169	-7.1078
0610043K17Rik		0.1	0.11006	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.023985
0910001L09Rik		12.335	21.235	27.694	31.223	32.307	54.762	25.667	0	0	-0.22226	-0.22149
1100001G20Rik		0.1	0.1	0.1	0.1	0.1	0.69104	0.1	0	0	0	-0.98919
1110001A16Rik		2.6059	4.7172	5.8133	4.5568	3.4899	8.9494	10.14	0	0	0.73616	1.0136
1110001J03Rik	UPF0562 protein C7orf55 homolog	16.721	19.576	26.85	13.756	10.246	7.2627	17.418	0	0	1.3898	0.14654
1110002B05Rik		29.352	23.607	53.599	55.623	58.251	19.922	117.51	0	0	-0.12008	1.5526
1110002L01Rik		0.5593	1.3827	0.88638	1.0104	0.4267	0.24444	0.20595	0	0	1.0547	-1.8678
1110002N22Rik		2.6462	1.2207	1.4319	0.96218	0.82344	2.1481	1.9661	0	0	0.79817	0.35354
1110003E01Rik		12.461	30.054	28.892	33.633	43.269	24.004	30.03	0	0	-0.5827	0.064382
1110004E09Rik	UPF0769 protein C21orf59 homolog	5.8412	9.5454	12.281	7.2039	4.55	2.7457	11.667	0	0	1.4325	0.7313
1110004F10Rik	Small acidic protein	22.886	48.212	42.194	42.043	23.689	12.479	35.205	0	0	0.83279	0.14144
1110005A03Rik		4.9008	4.9866	7.262	6.8625	6.5919	4.5858	5.9553	0	0	0.13967	0.022066
1110006O24Rik		0.97763	0.2269	0.62419	1.1004	0.92146	0.45956	0.60168	0	0	-0.56194	-0.2557
1110007C09Rik	Bcl10-interacting CARD protein	6.9155	9.1214	6.0445	51.219	86.179	101.63	31.221	0	0	-3.8336	-0.47914
1110008F13Rik	Uncharacterized protein C20orf24 homolog	43.96	35.181	43.893	39.609	38.847	51.577	53.909	0	0	0.17616	0.35404
1110008J03Rik		6.5007	7.9772	7.3737	5.3516	3.323	2.67	3.3898	0	0	1.1499	-0.70679
